280	-4.0701	-0.0245	-1.1356	-0.0245	0.0009	0.0245	-1.1356	0.0245	0.7254
285	-4.0669	-0.0221	-1.1389	-0.0221	0.0007	0.0221	-1.1389	0.0221	0.7289
290	-4.0638	-0.0198	-1.1421	-0.0198	0.0006	0.0198	-1.1421	0.0198	0.7322
295	-4.0607	-0.0178	-1.1452	-0.0178	0.0005	0.0178	-1.1452	0.0178	0.7354
300	-4.0578	-0.0159	-1.1482	-0.0159	0.0004	0.0159	-1.1482	0.0159	0.7385
305	-4.0549	-0.0142	-1.1511	-0.0142	0.0003	0.0142	-1.1511	0.0142	0.7414
310	-4.0521	-0.0127	-1.1539	-0.0127	0.0002	0.0127	-1.1539	0.0127	0.7443
315	-4.0494	-0.0114	-1.1566	-0.0114	0.0002	0.0114	-1.1566	0.0114	0.747
320	-4.0468	-0.0101	-1.1592	-0.0101	0.0001	0.0101	-1.1592	0.0101	0.7497
325	-4.0443	-0.009	-1.1618	-0.009	0.0001	0.009	-1.1618	0.009	0.7522
330	-4.0418	-0.0081	-1.1643	-0.0081	0.0001	0.0081	-1.1643	0.0081	0.7547
335	-4.0394	-0.0072	-1.1666	-0.0072	0.0001	0.0072	-1.1666	0.0072	0.7571
340	-4.0371	-0.0064	-1.169	-0.0064	0.0001	0.0064	-1.169	0.0064	0.7595
345	-4.0349	-0.0056	-1.1712	-0.0056	0	0.0056	-1.1712	0.0056	0.7617
350	-4.0327	-0.005	-1.1734	-0.005	0	0.005	-1.1734	0.005	0.7639
355	-4.0306	-0.0044	-1.1756	-0.0044	0	0.0044	-1.1756	0.0044	0.7661
360	-4.0285	-0.0039	-1.1776	-0.0039	0	0.0039	-1.1776	0.0039	0.7681
365	-4.0265	-0.0035	-1.1796	-0.0035	0	0.0035	-1.1796	0.0035	0.7702
370	-4.0245	-0.003	-1.1816	-0.003	0	0.003	-1.1816	0.003	0.7721
375	-4.0226	-0.0027	-1.1835	-0.0027	0	0.0027	-1.1835	0.0027	0.774
380	-4.0208	-0.0024	-1.1854	-0.0024	0	0.0024	-1.1854	0.0024	0.7759
385	-4.019	-0.0021	-1.1872	-0.0021	0	0.0021	-1.1872	0.0021	0.7777
390	-4.0172	-0.0018	-1.1889	-0.0018	0	0.0018	-1.1889	0.0018	0.7795
395	-4.0155	-0.0016	-1.1906	-0.0016	0	0.0016	-1.1906	0.0016	0.7812
